Solver_Var,Solver_Value,Year,ID,Num_Vehicles,Type,Fuel,Distance_bucket,Distance_per_vehicle(km)
"P[0,0,1]",72.0,0,0,0,0,0,0,0
"P[0,0,4]",1.0,0,0,0,0,0,0,0
"P[0,1,1]",30.0,0,0,0,0,0,0,0
"P[0,1,2]",1.0,0,0,0,0,0,0,0
"P[0,1,4]",3.0,0,0,0,0,0,0,0
"P[0,2,1]",78.0,0,0,0,0,0,0,0
"P[0,2,2]",1.0,0,0,0,0,0,0,0
"P[0,2,4]",2.0,0,0,0,0,0,0,0
"P[0,3,1]",7.0,0,0,0,0,0,0,0
"P[0,3,4]",4.0,0,0,0,0,0,0,0
"P[1,0,1]",18.0,0,0,0,0,0,0,0
"P[1,1,1]",9.0,0,0,0,0,0,0,0
"P[1,2,1]",13.0,0,0,0,0,0,0,0
"P[1,3,1]",2.0,0,0,0,0,0,0,0
"P[2,0,1]",13.0,0,0,0,0,0,0,0
"P[2,1,1]",1.0,0,0,0,0,0,0,0
"P[2,2,1]",30.0,0,0,0,0,0,0,0
"P[3,0,1]",9.0,0,0,0,0,0,0,0
"P[3,1,1]",2.0,0,0,0,0,0,0,0
"P[3,2,1]",25.0,0,0,0,0,0,0,0
"P[3,2,3]",1.0,0,0,0,0,0,0,0
"P[3,3,1]",6.0,0,0,0,0,0,0,0
"P[3,3,4]",3.0,0,0,0,0,0,0,0
"P[4,0,1]",3.0,0,0,0,0,0,0,0
"P[4,0,2]",3.0,0,0,0,0,0,0,0
"P[4,1,1]",22.0,0,0,0,0,0,0,0
"P[4,2,1]",18.0,0,0,0,0,0,0,0
"P[4,3,1]",3.0,0,0,0,0,0,0,0
"P[5,0,2]",22.0,0,0,0,0,0,0,0
"P[5,1,1]",11.0,0,0,0,0,0,0,0
"P[5,2,1]",11.0,0,0,0,0,0,0,0
"P[5,2,2]",5.0,0,0,0,0,0,0,0
"P[5,2,3]",1.0,0,0,0,0,0,0,0
"P[6,0,2]",10.0,0,0,0,0,0,0,0
"P[6,1,2]",2.0,0,0,0,0,0,0,0
"P[6,2,1]",25.0,0,0,0,0,0,0,0
"P[6,2,2]",7.0,0,0,0,0,0,0,0
"P[6,3,1]",2.0,0,0,0,0,0,0,0
"P[6,3,2]",6.0,0,0,0,0,0,0,0
"P[7,0,2]",19.0,0,0,0,0,0,0,0
"P[7,1,1]",4.0,0,0,0,0,0,0,0
"P[7,1,2]",1.0,0,0,0,0,0,0,0
"P[7,2,1]",24.0,0,0,0,0,0,0,0
"P[7,2,2]",2.0,0,0,0,0,0,0,0
"P[7,3,4]",1.0,0,0,0,0,0,0,0
"P[8,0,2]",1.0,0,0,0,0,0,0,0
"P[8,1,1]",3.0,0,0,0,0,0,0,0
"P[8,1,2]",20.0,0,0,0,0,0,0,0
"P[8,2,1]",20.0,0,0,0,0,0,0,0
"P[8,3,1]",2.0,0,0,0,0,0,0,0
"P[8,3,4]",1.0,0,0,0,0,0,0,0
"P[9,0,2]",19.0,0,0,0,0,0,0,0
"P[9,0,3]",1.0,0,0,0,0,0,0,0
"P[9,1,2]",11.0,0,0,0,0,0,0,0
"P[9,2,1]",22.0,0,0,0,0,0,0,0
"P[9,2,2]",1.0,0,0,0,0,0,0,0
"P[9,3,1]",6.0,0,0,0,0,0,0,0
"P[10,0,2]",12.0,0,0,0,0,0,0,0
"P[10,1,2]",3.0,0,0,0,0,0,0,0
"P[10,2,1]",20.0,0,0,0,0,0,0,0
"P[10,2,2]",14.0,0,0,0,0,0,0,0
"P[10,3,2]",3.0,0,0,0,0,0,0,0
"P[11,0,2]",21.0,0,0,0,0,0,0,0
"P[11,1,2]",3.0,0,0,0,0,0,0,0
"P[11,2,1]",22.0,0,0,0,0,0,0,0
"P[11,2,2]",7.0,0,0,0,0,0,0,0
"P[11,3,2]",3.0,0,0,0,0,0,0,0
"P[11,3,3]",2.0,0,0,0,0,0,0,0
"P[12,0,2]",4.0,0,0,0,0,0,0,0
"P[12,1,2]",26.0,0,0,0,0,0,0,0
"P[12,2,1]",16.0,0,0,0,0,0,0,0
"P[12,2,2]",6.0,0,0,0,0,0,0,0
"P[12,3,2]",5.0,0,0,0,0,0,0,0
"P[13,0,2]",24.0,0,0,0,0,0,0,0
"P[13,1,2]",13.0,0,0,0,0,0,0,0
"P[13,2,1]",6.0,0,0,0,0,0,0,0
"P[13,2,2]",16.0,0,0,0,0,0,0,0
"P[14,0,2]",13.0,0,0,0,0,0,0,0
"P[14,1,2]",4.0,0,0,0,0,0,0,0
"P[14,2,1]",7.0,0,0,0,0,0,0,0
"P[14,2,2]",31.0,0,0,0,0,0,0,0
"P[14,2,4]",1.0,0,0,0,0,0,0,0
"P[14,3,2]",3.0,0,0,0,0,0,0,0
"P[14,3,3]",1.0,0,0,0,0,0,0,0
"P[15,0,2]",16.0,0,0,0,0,0,0,0
"P[15,0,3]",1.0,0,0,0,0,0,0,0
"P[15,1,2]",2.0,0,0,0,0,0,0,0
"P[15,1,3]",3.0,0,0,0,0,0,0,0
"P[15,2,1]",8.0,0,0,0,0,0,0,0
"P[15,2,2]",23.0,0,0,0,0,0,0,0
"P[15,2,3]",2.0,0,0,0,0,0,0,0
"P[15,3,2]",8.0,0,0,0,0,0,0,0
"P[15,3,3]",2.0,0,0,0,0,0,0,0
"S[0,0,0,1]",17.0,0,0,0,0,0,0,0
"S[0,0,1,1]",8.0,0,0,0,0,0,0,0
"S[0,0,1,4]",1.0,0,0,0,0,0,0,0
"S[0,0,2,1]",11.0,0,0,0,0,0,0,0
"S[0,0,3,1]",2.0,0,0,0,0,0,0,0
"S[1,0,0,1]",10.0,0,0,0,0,0,0,0
"S[1,0,0,4]",1.0,0,0,0,0,0,0,0
"S[1,0,2,1]",29.0,0,0,0,0,0,0,0
"S[2,0,0,1]",7.0,0,0,0,0,0,0,0
"S[2,0,1,1]",2.0,0,0,0,0,0,0,0
"S[2,0,2,1]",23.0,0,0,0,0,0,0,0
"S[2,0,3,1]",5.0,0,0,0,0,0,0,0
"S[2,0,3,4]",4.0,0,0,0,0,0,0,0
"S[3,0,0,1]",3.0,0,0,0,0,0,0,0
"S[3,0,1,1]",20.0,0,0,0,0,0,0,0
"S[3,0,1,4]",1.0,0,0,0,0,0,0,0
"S[3,0,2,1]",15.0,0,0,0,0,0,0,0
"S[3,0,2,4]",1.0,0,0,0,0,0,0,0
"S[3,1,3,1]",2.0,0,0,0,0,0,0,0
"S[4,0,0,1]",18.0,0,0,0,0,0,0,0
"S[4,0,1,4]",1.0,0,0,0,0,0,0,0
"S[4,1,1,1]",9.0,0,0,0,0,0,0,0
"S[4,1,2,1]",13.0,0,0,0,0,0,0,0
"S[4,2,2,1]",2.0,0,0,0,0,0,0,0
"S[5,1,0,1]",9.0,0,0,0,0,0,0,0
"S[5,2,2,1]",28.0,0,0,0,0,0,0,0
"S[5,3,3,1]",6.0,0,0,0,0,0,0,0
"S[5,4,3,1]",2.0,0,0,0,0,0,0,0
"S[6,2,0,1]",7.0,0,0,0,0,0,0,0
"S[6,2,1,1]",1.0,0,0,0,0,0,0,0
"S[6,3,0,1]",7.0,0,0,0,0,0,0,0
"S[6,3,1,1]",2.0,0,0,0,0,0,0,0
"S[6,3,2,1]",25.0,0,0,0,0,0,0,0
"S[6,3,2,3]",1.0,0,0,0,0,0,0,0
"S[6,3,3,4]",1.0,0,0,0,0,0,0,0
"S[6,4,1,1]",2.0,0,0,0,0,0,0,0
"S[7,0,0,1]",1.0,0,0,0,0,0,0,0
"S[7,0,1,2]",1.0,0,0,0,0,0,0,0
"S[7,0,2,2]",1.0,0,0,0,0,0,0,0
"S[7,3,0,1]",1.0,0,0,0,0,0,0,0
"S[7,3,3,4]",2.0,0,0,0,0,0,0,0
"S[7,4,1,1]",20.0,0,0,0,0,0,0,0
"S[7,4,2,1]",18.0,0,0,0,0,0,0,0
"S[7,4,3,1]",1.0,0,0,0,0,0,0,0
"S[7,5,1,1]",2.0,0,0,0,0,0,0,0
"S[8,0,0,1]",14.0,0,0,0,0,0,0,0
"S[8,0,2,4]",1.0,0,0,0,0,0,0,0
"S[8,5,1,1]",9.0,0,0,0,0,0,0,0
"S[8,5,2,1]",11.0,0,0,0,0,0,0,0
"S[8,5,2,2]",5.0,0,0,0,0,0,0,0
"S[8,6,2,2]",2.0,0,0,0,0,0,0,0
"S[8,6,3,1]",1.0,0,0,0,0,0,0,0
"S[8,6,3,2]",4.0,0,0,0,0,0,0,0
"S[9,0,0,1]",2.0,0,0,0,0,0,0,0
"S[9,1,0,1]",9.0,0,0,0,0,0,0,0
"S[9,5,0,2]",2.0,0,0,0,0,0,0,0
"S[9,5,2,3]",1.0,0,0,0,0,0,0,0
"S[9,6,1,2]",2.0,0,0,0,0,0,0,0
"S[9,6,2,1]",25.0,0,0,0,0,0,0,0
"S[9,6,2,2]",5.0,0,0,0,0,0,0,0
"S[9,6,3,1]",1.0,0,0,0,0,0,0,0
"S[9,6,3,2]",2.0,0,0,0,0,0,0,0
"S[9,7,2,2]",1.0,0,0,0,0,0,0,0
"S[10,2,0,1]",6.0,0,0,0,0,0,0,0
"S[10,5,0,2]",11.0,0,0,0,0,0,0,0
"S[10,7,1,1]",2.0,0,0,0,0,0,0,0
"S[10,7,2,1]",24.0,0,0,0,0,0,0,0
"S[10,7,2,2]",1.0,0,0,0,0,0,0,0
"S[10,7,3,4]",1.0,0,0,0,0,0,0,0
"S[10,8,2,1]",1.0,0,0,0,0,0,0,0
"S[10,8,3,1]",2.0,0,0,0,0,0,0,0
"S[10,9,3,1]",2.0,0,0,0,0,0,0,0
"S[11,3,0,1]",1.0,0,0,0,0,0,0,0
"S[11,4,0,1]",3.0,0,0,0,0,0,0,0
"S[11,7,1,1]",1.0,0,0,0,0,0,0,0
"S[11,7,1,2]",1.0,0,0,0,0,0,0,0
"S[11,8,1,1]",3.0,0,0,0,0,0,0,0
"S[11,8,1,2]",20.0,0,0,0,0,0,0,0
"S[11,8,2,1]",19.0,0,0,0,0,0,0,0
"S[11,9,3,1]",4.0,0,0,0,0,0,0,0
"S[12,4,0,2]",3.0,0,0,0,0,0,0,0
"S[12,9,0,2]",18.0,0,0,0,0,0,0,0
"S[12,9,1,2]",11.0,0,0,0,0,0,0,0
"S[12,9,2,1]",20.0,0,0,0,0,0,0,0
"S[12,9,2,2]",1.0,0,0,0,0,0,0,0
"S[13,5,0,2]",9.0,0,0,0,0,0,0,0
"S[13,8,3,4]",1.0,0,0,0,0,0,0,0
"S[13,9,0,2]",1.0,0,0,0,0,0,0,0
"S[13,9,0,3]",1.0,0,0,0,0,0,0,0
"S[13,9,2,1]",2.0,0,0,0,0,0,0,0
"S[13,10,1,2]",3.0,0,0,0,0,0,0,0
"S[13,10,2,1]",20.0,0,0,0,0,0,0,0
"S[13,10,2,2]",14.0,0,0,0,0,0,0,0
"S[13,10,3,2]",3.0,0,0,0,0,0,0,0
"S[14,6,0,2]",10.0,0,0,0,0,0,0,0
"S[14,10,0,2]",3.0,0,0,0,0,0,0,0
"S[14,11,1,2]",3.0,0,0,0,0,0,0,0
"S[14,11,2,1]",22.0,0,0,0,0,0,0,0
"S[14,11,2,2]",7.0,0,0,0,0,0,0,0
"S[14,11,3,2]",3.0,0,0,0,0,0,0,0
"S[14,11,3,3]",2.0,0,0,0,0,0,0,0
"S[14,12,3,2]",5.0,0,0,0,0,0,0,0
"U[0,0,0,1,0]",8.521392156863724,0,0,0,0,0,0,0
"U[0,0,0,1,1]",25.46171568627549,0,0,0,0,0,0,0
"U[0,0,0,1,2]",32.27462745098137,0,0,0,0,0,0,0
"U[0,0,0,1,3]",4.0,0,0,0,0,0,0,0
"U[0,0,0,4,3]",0.06192156862843138,0,0,0,0,0,0,0
"U[0,0,1,1,0]",8.999999999999996,0,0,0,0,0,0,0
"U[0,0,1,1,1]",13.000000004056703,0,0,0,0,0,0,0
"U[0,0,1,1,2]",6.999999999999998,0,0,0,0,0,0,0
"U[0,0,1,1,3]",1.0000000320763895,0,0,0,0,0,0,0
"U[0,0,1,2,0]",0.3933490566047203,0,0,0,0,0,0,0
"U[0,0,1,4,1]",0.049028297831032006,0,0,0,0,0,0,0
"U[0,0,1,4,2]",0.3397075471707569,0,0,0,0,0,0,0
"U[0,0,1,4,3]",0.26111317547172364,0,0,0,0,0,0,0
"U[0,0,2,1,0]",29.910630136987674,0,0,0,0,0,0,0
"U[0,0,2,1,1]",33.0,0,0,0,0,0,0,0
"U[0,0,2,1,2]",13.0,0,0,0,0,0,0,0
"U[0,0,2,1,3]",2.0,0,0,0,0,0,0,0
"U[0,0,2,2,3]",0.8140684931520548,0,0,0,0,0,0,0
"U[0,0,2,4,1]",0.31372602739863176,0,0,0,0,0,0,0
"U[0,0,2,4,2]",0.7324246575356165,0,0,0,0,0,0,0
"U[0,0,3,1,1]",6.0,0,0,0,0,0,0,0
"U[0,0,3,1,2]",1.0,0,0,0,0,0,0,0
"U[0,0,3,4,0]",0.12353389830593221,0,0,0,0,0,0,0
"U[0,0,3,4,1]",0.3959152542381356,0,0,0,0,0,0,0
"U[0,0,3,4,2]",0.0076271186449152605,0,0,0,0,0,0,0
"U[0,0,3,4,3]",0.015338983051694916,0,0,0,0,0,0,0
"U[1,0,0,1,1]",26.0,0,0,0,0,0,0,0
"U[1,0,0,1,2]",25.0,0,0,0,0,0,0,0
"U[1,0,0,1,3]",4.0,0,0,0,0,0,0,0
"U[1,0,0,4,3]",0.11747058823627451,0,0,0,0,0,0,0
"U[1,0,1,1,0]",2.0,0,0,0,0,0,0,0
"U[1,0,1,1,1]",13.0,0,0,0,0,0,0,0
"U[1,0,1,1,2]",7.0,0,0,0,0,0,0,0
"U[1,0,1,2,2]",0.6139339622650943,0,0,0,0,0,0,0
"U[1,0,1,4,1]",0.1319622641518857,0,0,0,0,0,0,0
"U[1,0,1,4,3]",0.2614433962273585,0,0,0,0,0,0,0
"U[1,0,2,1,0]",30.0,0,0,0,0,0,0,0
"U[1,0,2,1,1]",32.99999999999999,0,0,0,0,0,0,0
"U[1,0,2,1,2]",3.0,0,0,0,0,0,0,0
"U[1,0,2,1,3]",0.8553561643849316,0,0,0,0,0,0,0
"U[1,0,2,2,0]",0.6772739726041112,0,0,0,0,0,0,0
"U[1,0,2,4,1]",0.6095616438369943,0,0,0,0,0,0,0
"U[1,0,2,4,2]",0.10104109589178083,0,0,0,0,0,0,0
"U[1,0,3,1,1]",4.0,0,0,0,0,0,0,0
"U[1,0,3,1,2]",1.0,0,0,0,0,0,0,0
"U[1,0,3,4,0]",0.12882203389915253,0,0,0,0,0,0,0
"U[1,0,3,4,1]",0.618474576272034,0,0,0,0,0,0,0
"U[1,0,3,4,2]",0.03548305084830509,0,0,0,0,0,0,0
"U[1,0,3,4,3]",0.016050847458474578,0,0,0,0,0,0,0
"U[1,1,0,1,0]",8.60042156862843,0,0,0,0,0,0,0
"U[1,1,0,1,1]",0.6293725490205894,0,0,0,0,0,0,0
"U[1,1,0,1,2]",7.711813725491178,0,0,0,0,0,0,0
"U[1,1,1,1,0]",7.841603773585849,0,0,0,0,0,0,0
"U[1,1,1,1,3]",1.0,0,0,0,0,0,0,0
"U[1,1,2,1,2]",11.0,0,0,0,0,0,0,0
"U[1,1,2,1,3]",2.0,0,0,0,0,0,0,0
"U[1,1,3,1,1]",2.0,0,0,0,0,0,0,0
"U[2,0,0,1,1]",14.806117647059805,0,0,0,0,0,0,0
"U[2,0,0,1,2]",28.78543137255,0,0,0,0,0,0,0
"U[2,0,0,1,3]",1.0,0,0,0,0,0,0,0
"U[2,0,1,1,0]",2.0,0,0,0,0,0,0,0
"U[2,0,1,1,1]",12.0,0,0,0,0,0,0,0
"U[2,0,1,1,2]",6.751688679246226,0,0,0,0,0,0,0
"U[2,0,1,1,3]",1.0,0,0,0,0,0,0,0
"U[2,0,1,2,1]",0.3074056603783008,0,0,0,0,0,0,0
"U[2,0,1,4,0]",0.208169811321697,0,0,0,0,0,0,0
"U[2,0,1,4,3]",0.2946415094349057,0,0,0,0,0,0,0
"U[2,0,2,1,0]",30.0,0,0,0,0,0,0,0
"U[2,0,2,1,1]",7.0,0,0,0,0,0,0,0
"U[2,0,2,1,2]",1.0,0,0,0,0,0,0,0
"U[2,0,2,2,0]",0.8922876712342481,0,0,0,0,0,0,0
"U[2,0,2,4,1]",0.26339726027534405,0,0,0,0,0,0,0
"U[2,0,2,4,2]",0.43373972602876554,0,0,0,0,0,0,0
"U[2,0,3,1,1]",5.0,0,0,0,0,0,0,0
"U[2,0,3,4,0]",0.13233898305169492,0,0,0,0,0,0,0
"U[2,0,3,4,1]",0.7040677966110169,0,0,0,0,0,0,0
"U[2,0,3,4,2]",0.044516949153389836,0,0,0,0,0,0,0
"U[2,0,3,4,3]",0.016338983051694914,0,0,0,0,0,0,0
"U[2,1,0,1,0]",5.0,0,0,0,0,0,0,0
"U[2,1,0,1,1]",13.0,0,0,0,0,0,0,0
"U[2,1,1,1,0]",7.0,0,0,0,0,0,0,0
"U[2,1,1,1,1]",1.0,0,0,0,0,0,0,0
"U[2,1,1,1,2]",1.0,0,0,0,0,0,0,0
"U[2,1,2,1,2]",13.0,0,0,0,0,0,0,0
"U[2,1,3,1,1]",1.0,0,0,0,0,0,0,0
"U[2,1,3,1,2]",1.0,0,0,0,0,0,0,0
"U[2,2,0,1,0]",3.604980392157843,0,0,0,0,0,0,0
"U[2,2,0,1,2]",5.0,0,0,0,0,0,0,0
"U[2,2,0,1,3]",3.311450980393137,0,0,0,0,0,0,0
"U[2,2,1,1,0]",1.0,0,0,0,0,0,0,0
"U[2,2,2,1,1]",27.0,0,0,0,0,0,0,0
"U[2,2,2,1,3]",2.993671232878082,0,0,0,0,0,0,0
"U[3,0,0,1,0]",8.667607843138235,0,0,0,0,0,0,0
"U[3,0,0,1,1]",10.5210882352951,0,0,0,0,0,0,0
"U[3,0,0,1,2]",18.0,0,0,0,0,0,0,0
"U[3,0,1,1,0]",6.0,0,0,0,0,0,0,0
"U[3,0,1,1,1]",6.0,0,0,0,0,0,0,0
"U[3,0,1,1,2]",7.791886792453774,0,0,0,0,0,0,0
"U[3,0,1,2,1]",0.7045660377367914,0,0,0,0,0,0,0
"U[3,0,1,4,0]",0.2896603773594329,0,0,0,0,0,0,0
"U[3,0,1,4,3]",0.3314056603783019,0,0,0,0,0,0,0
"U[3,0,2,1,2]",15.0,0,0,0,0,0,0,0
"U[3,0,2,2,0]",0.9147123287684947,0,0,0,0,0,0,0
"U[3,0,2,4,1]",0.5875890410972618,0,0,0,0,0,0,0
"U[3,0,2,4,2]",0.12230136986438198,0,0,0,0,0,0,0
"U[3,1,0,1,1]",18.0,0,0,0,0,0,0,0
"U[3,1,1,1,0]",4.0,0,0,0,0,0,0,0
"U[3,1,1,1,1]",4.0,0,0,0,0,0,0,0
"U[3,1,1,1,3]",1.0,0,0,0,0,0,0,0
"U[3,1,2,1,0]",10.0,0,0,0,0,0,0,0
"U[3,1,2,1,3]",3.0,0,0,0,0,0,0,0
"U[3,1,3,1,1]",0.7324661016957628,0,0,0,0,0,0,0
"U[3,1,3,1,2]",1.0,0,0,0,0,0,0,0
"U[3,2,0,1,2]",11.676774509804902,0,0,0,0,0,0,0
"U[3,2,0,1,3]",0.37724509804019607,0,0,0,0,0,0,0
"U[3,2,1,1,1]",1.0,0,0,0,0,0,0,0
"U[3,2,2,1,0]",21.0,0,0,0,0,0,0,0
"U[3,2,2,1,1]",9.0,0,0,0,0,0,0,0
"U[3,3,0,1,2]",5.0,0,0,0,0,0,0,0
"U[3,3,0,1,3]",4.0,0,0,0,0,0,0,0
"U[3,3,1,1,1]",2.0,0,0,0,0,0,0,0
"U[3,3,2,1,1]",25.0,0,0,0,0,0,0,0
"U[3,3,2,3,3]",0.0024931506863013803,0,0,0,0,0,0,0
"U[3,3,3,1,1]",6.0,0,0,0,0,0,0,0
"U[3,3,3,4,0]",0.13488983050932205,0,0,0,0,0,0,0
"U[3,3,3,4,2]",0.07386440678050848,0,0,0,0,0,0,0
"U[3,3,3,4,3]",0.016864406780508476,0,0,0,0,0,0,0
"U[4,0,0,1,0]",3.677618257137757,0,0,0,0,0,0,0
"U[4,0,0,1,1]",21.638764705883336,0,0,0,0,0,0,0
"U[4,0,0,1,2]",5.0,0,0,0,0,0,0,0
"U[4,0,0,1,3]",3.58014705882451,0,0,0,0,0,0,0
"U[4,0,1,2,3]",0.3815943396235849,0,0,0,0,0,0,0
"U[4,0,1,4,2]",0.1401132075481132,0,0,0,0,0,0,0
"U[4,0,2,2,2]",0.5821232876726011,0,0,0,0,0,0,0
"U[4,0,2,4,1]",0.5009178082205495,0,0,0,0,0,0,0
"U[4,1,0,1,2]",18.0,0,0,0,0,0,0,0
"U[4,1,1,1,0]",3.51847169811415,0,0,0,0,0,0,0
"U[4,1,1,1,1]",4.963000000000942,0,0,0,0,0,0,0
"U[4,1,2,1,0]",0.62150684931644,0,0,0,0,0,0,0
"U[4,1,2,1,2]",12.0,0,0,0,0,0,0,0
"U[4,2,0,1,1]",2.0,0,0,0,0,0,0,0
"U[4,2,0,1,2]",11.0,0,0,0,0,0,0,0
"U[4,2,1,1,1]",1.0,0,0,0,0,0,0,0
"U[4,2,2,1,0]",30.0,0,0,0,0,0,0,0
"U[4,3,0,1,0]",2.0,0,0,0,0,0,0,0
"U[4,3,0,1,1]",6.0,0,0,0,0,0,0,0
"U[4,3,0,1,3]",1.0,0,0,0,0,0,0,0
"U[4,3,1,1,1]",2.0,0,0,0,0,0,0,0
"U[4,3,2,1,1]",25.0,0,0,0,0,0,0,0
"U[4,3,2,3,3]",0.08134246575479454,0,0,0,0,0,0,0
"U[4,3,3,1,0]",0.1401101694923729,0,0,0,0,0,0,0
"U[4,3,3,1,1]",4.0,0,0,0,0,0,0,0
"U[4,3,3,1,2]",1.0,0,0,0,0,0,0,0
"U[4,3,3,4,1]",0.028372881356779667,0,0,0,0,0,0,0
"U[4,3,3,4,2]",0.09971186440762712,0,0,0,0,0,0,0
"U[4,3,3,4,3]",0.01711864406864407,0,0,0,0,0,0,0
"U[4,4,0,1,0]",2.0,0,0,0,0,0,0,0
"U[4,4,0,1,2]",1.0,0,0,0,0,0,0,0
"U[4,4,0,2,0]",1.3714503703142034,0,0,0,0,0,0,0
"U[4,4,0,2,2]",0.11452941176568743,0,0,0,0,0,0,0
"U[4,4,1,1,0]",7.0,0,0,0,0,0,0,0
"U[4,4,1,1,1]",6.0,0,0,0,0,0,0,0
"U[4,4,1,1,2]",8.0,0,0,0,0,0,0,0
"U[4,4,1,1,3]",1.0,0,0,0,0,0,0,0
"U[4,4,2,1,0]",2.0,0,0,0,0,0,0,0
"U[4,4,2,1,1]",10.0,0,0,0,0,0,0,0
"U[4,4,2,1,2]",3.0,0,0,0,0,0,0,0
"U[4,4,2,1,3]",3.0,0,0,0,0,0,0,0
"U[4,4,3,1,1]",3.0,0,0,0,0,0,0,0
"U[5,0,0,1,0]",0.4915490196088235,0,0,0,0,0,0,0
"U[5,0,0,1,1]",11.980737952332708,0,0,0,0,0,0,0
"U[5,0,0,1,3]",1.5996960784323528,0,0,0,0,0,0,0
"U[5,0,1,2,3]",0.3965754716990566,0,0,0,0,0,0,0
"U[5,0,2,2,2]",0.8264383561657518,0,0,0,0,0,0,0
"U[5,0,2,4,1]",0.5469178082205496,0,0,0,0,0,0,0
"U[5,1,0,1,1]",6.0,0,0,0,0,0,0,0
"U[5,1,0,1,2]",12.0,0,0,0,0,0,0,0
"U[5,2,0,1,1]",9.0,0,0,0,0,0,0,0
"U[5,2,0,1,2]",3.5810784313735304,0,0,0,0,0,0,0
"U[5,2,1,1,2]",0.5133584905669811,0,0,0,0,0,0,0
"U[5,2,2,1,0]",23.0,0,0,0,0,0,0,0
"U[5,2,2,1,1]",5.0,0,0,0,0,0,0,0
"U[5,3,0,1,1]",1.0,0,0,0,0,0,0,0
"U[5,3,0,1,2]",8.0,0,0,0,0,0,0,0
"U[5,3,1,1,0]",0.7752735849066027,0,0,0,0,0,0,0
"U[5,3,1,1,1]",0.5915471698122631,0,0,0,0,0,0,0
"U[5,3,2,1,0]",9.0,0,0,0,0,0,0,0
"U[5,3,2,1,1]",13.0,0,0,0,0,0,0,0
"U[5,3,2,1,2]",3.0,0,0,0,0,0,0,0
"U[5,3,2,3,3]",0.19812328767260276,0,0,0,0,0,0,0
"U[5,3,3,1,1]",4.2199491525432204,0,0,0,0,0,0,0
"U[5,3,3,1,2]",1.0,0,0,0,0,0,0,0
"U[5,3,3,4,0]",0.1429152542381356,0,0,0,0,0,0,0
"U[5,3,3,4,2]",0.13500000000084747,0,0,0,0,0,0,0
"U[5,3,3,4,3]",0.01751694915338983,0,0,0,0,0,0,0
"U[5,4,0,1,0]",1.0,0,0,0,0,0,0,0
"U[5,4,0,1,2]",1.0,0,0,0,0,0,0,0
"U[5,4,0,1,3]",1.0,0,0,0,0,0,0,0
"U[5,4,0,2,1]",2.550203224138861,0,0,0,0,0,0,0
"U[5,4,1,1,0]",8.0,0,0,0,0,0,0,0
"U[5,4,1,1,1]",14.0,0,0,0,0,0,0,0
"U[5,4,2,1,0]",1.0,0,0,0,0,0,0,0
"U[5,4,2,1,1]",16.0,0,0,0,0,0,0,0
"U[5,4,2,1,2]",1.0,0,0,0,0,0,0,0
"U[5,4,3,1,1]",3.0,0,0,0,0,0,0,0
"U[5,5,0,2,0]",8.0,0,0,0,0,0,0,0
"U[5,5,0,2,2]",12.0,0,0,0,0,0,0,0
"U[5,5,0,2,3]",2.0,0,0,0,0,0,0,0
"U[5,5,1,1,0]",2.0,0,0,0,0,0,0,0
"U[5,5,1,1,2]",8.0,0,0,0,0,0,0,0
"U[5,5,1,1,3]",1.0,0,0,0,0,0,0,0
"U[5,5,2,1,2]",11.0,0,0,0,0,0,0,0
"U[5,5,2,2,1]",2.0,0,0,0,0,0,0,0
"U[5,5,2,2,3]",3.0,0,0,0,0,0,0,0
"U[5,5,2,3,0]",0.5407260273986317,0,0,0,0,0,0,0
"U[6,0,0,1,1]",7.0,0,0,0,0,0,0,0
"U[6,0,0,1,2]",10.0,0,0,0,0,0,0,0
"U[6,0,1,2,2]",0.8566199970150834,0,0,0,0,0,0,0
"U[6,0,2,2,2]",1.0,0,0,0,0,0,0,0
"U[6,0,2,4,3]",0.20761643835753427,0,0,0,0,0,0,0
"U[6,1,0,1,0]",4.0,0,0,0,0,0,0,0
"U[6,1,0,1,1]",3.2583333333343147,0,0,0,0,0,0,0
"U[6,1,0,1,3]",1.0,0,0,0,0,0,0,0
"U[6,2,0,1,0]",5.898333333334314,0,0,0,0,0,0,0
"U[6,2,0,1,2]",3.1597941176480404,0,0,0,0,0,0,0
"U[6,2,0,1,3]",2.751686274510784,0,0,0,0,0,0,0
"U[6,2,1,1,0]",0.07185849056698004,0,0,0,0,0,0,0
"U[6,3,0,1,1]",9.0,0,0,0,0,0,0,0
"U[6,3,1,1,1]",0.1750566037745272,0,0,0,0,0,0,0
"U[6,3,1,1,3]",0.3992735849066038,0,0,0,0,0,0,0
"U[6,3,2,1,1]",15.289164383563016,0,0,0,0,0,0,0
"U[6,3,2,1,2]",9.0,0,0,0,0,0,0,0
"U[6,3,2,3,2]",0.10313698630273814,0,0,0,0,0,0,0
"U[6,3,3,4,0]",0.14868644067881356,0,0,0,0,0,0,0
"U[6,3,3,4,2]",0.15088135593305085,0,0,0,0,0,0,0
"U[6,3,3,4,3]",0.017915254238135593,0,0,0,0,0,0,0
