Solver_Var,Solver_Value,Year,ID,Num_Vehicles,Type,Fuel,Distance_bucket,Distance_per_vehicle(km),Size,p_year,Ftype,ratio,Demand,Demand_id,age,k,T_val
"P[0,0,1]",72.0,2023,LNG_S1_2023,72,Buy,LNG,0,0.0,S1,2023,LNG,1.0,0.0,S1_0_2023,1,1,0
"P[0,0,4]",1.0,2023,Diesel_S1_2023,1,Buy,B20,0,0.0,S1,2023,Diesel,1.0,0.0,S1_0_2023,1,4,0
"P[0,1,1]",30.0,2023,LNG_S2_2023,30,Buy,LNG,0,0.0,S2,2023,LNG,1.0,0.0,S2_0_2023,1,1,0
"P[0,1,2]",1.0,2023,LNG_S2_2023,1,Buy,BioLNG,0,0.0,S2,2023,LNG,1.0,0.0,S2_0_2023,1,2,0
"P[0,1,4]",3.0,2023,Diesel_S2_2023,3,Buy,B20,0,0.0,S2,2023,Diesel,1.0,0.0,S2_0_2023,1,4,0
"P[0,2,1]",78.0,2023,LNG_S3_2023,78,Buy,LNG,0,0.0,S3,2023,LNG,1.0,0.0,S3_0_2023,1,1,0
"P[0,2,2]",1.0,2023,LNG_S3_2023,1,Buy,BioLNG,0,0.0,S3,2023,LNG,1.0,0.0,S3_0_2023,1,2,0
"P[0,2,4]",2.0,2023,Diesel_S3_2023,2,Buy,B20,0,0.0,S3,2023,Diesel,1.0,0.0,S3_0_2023,1,4,0
"P[0,3,1]",7.0,2023,LNG_S4_2023,7,Buy,LNG,0,0.0,S4,2023,LNG,1.0,0.0,S4_0_2023,1,1,0
"P[0,3,4]",4.0,2023,Diesel_S4_2023,4,Buy,B20,0,0.0,S4,2023,Diesel,1.0,0.0,S4_0_2023,1,4,0
"P[1,0,1]",18.0,2024,LNG_S1_2024,18,Buy,LNG,0,0.0,S1,2024,LNG,1.0,0.0,S1_0_2024,1,1,0
"P[1,1,1]",9.0,2024,LNG_S2_2024,9,Buy,LNG,0,0.0,S2,2024,LNG,1.0,0.0,S2_0_2024,1,1,0
"P[1,2,1]",13.0,2024,LNG_S3_2024,13,Buy,LNG,0,0.0,S3,2024,LNG,1.0,0.0,S3_0_2024,1,1,0
"P[1,3,1]",2.0,2024,LNG_S4_2024,2,Buy,LNG,0,0.0,S4,2024,LNG,1.0,0.0,S4_0_2024,1,1,0
"P[2,0,1]",13.0,2025,LNG_S1_2025,13,Buy,LNG,0,0.0,S1,2025,LNG,1.0,0.0,S1_0_2025,1,1,0
"P[2,1,1]",1.0,2025,LNG_S2_2025,1,Buy,LNG,0,0.0,S2,2025,LNG,1.0,0.0,S2_0_2025,1,1,0
"P[2,2,1]",30.0,2025,LNG_S3_2025,30,Buy,LNG,0,0.0,S3,2025,LNG,1.0,0.0,S3_0_2025,1,1,0
"P[3,0,1]",9.0,2026,LNG_S1_2026,9,Buy,LNG,0,0.0,S1,2026,LNG,1.0,0.0,S1_0_2026,1,1,0
"P[3,1,1]",2.0,2026,LNG_S2_2026,2,Buy,LNG,0,0.0,S2,2026,LNG,1.0,0.0,S2_0_2026,1,1,0
"P[3,2,1]",25.0,2026,LNG_S3_2026,25,Buy,LNG,0,0.0,S3,2026,LNG,1.0,0.0,S3_0_2026,1,1,0
"P[3,2,3]",1.0,2026,Diesel_S3_2026,1,Buy,HVO,0,0.0,S3,2026,Diesel,1.0,0.0,S3_0_2026,1,3,0
"P[3,3,1]",6.0,2026,LNG_S4_2026,6,Buy,LNG,0,0.0,S4,2026,LNG,1.0,0.0,S4_0_2026,1,1,0
"P[3,3,4]",3.0,2026,Diesel_S4_2026,3,Buy,B20,0,0.0,S4,2026,Diesel,1.0,0.0,S4_0_2026,1,4,0
"P[4,0,1]",3.0,2027,LNG_S1_2027,3,Buy,LNG,0,0.0,S1,2027,LNG,1.0,0.0,S1_0_2027,1,1,0
"P[4,0,2]",3.0,2027,LNG_S1_2027,3,Buy,BioLNG,0,0.0,S1,2027,LNG,1.0,0.0,S1_0_2027,1,2,0
"P[4,1,1]",22.0,2027,LNG_S2_2027,22,Buy,LNG,0,0.0,S2,2027,LNG,1.0,0.0,S2_0_2027,1,1,0
"P[4,2,1]",18.0,2027,LNG_S3_2027,18,Buy,LNG,0,0.0,S3,2027,LNG,1.0,0.0,S3_0_2027,1,1,0
"P[4,3,1]",3.0,2027,LNG_S4_2027,3,Buy,LNG,0,0.0,S4,2027,LNG,1.0,0.0,S4_0_2027,1,1,0
