Solver_Var,Solver_Value
"P[0,0,1]",72.0
"P[0,0,2]",0.0
"P[0,0,3]",0.0
"P[0,0,4]",1.0
"P[0,1,1]",30.0
"P[0,1,2]",1.0
"P[0,1,3]",0.0
"P[0,1,4]",3.0
"P[0,2,1]",78.0
"P[0,2,2]",1.0
"P[0,2,3]",0.0
"P[0,2,4]",2.0
"P[0,3,1]",7.0
"P[0,3,2]",0.0
"P[0,3,3]",0.0
"P[0,3,4]",4.0
"P[1,0,1]",18.0
"P[1,0,2]",0.0
"P[1,0,3]",0.0
"P[1,0,4]",0.0
"P[1,1,1]",9.0
"P[1,1,2]",0.0
"P[1,1,3]",0.0
"P[1,1,4]",0.0
"P[1,2,1]",13.0
"P[1,2,2]",0.0
"P[1,2,3]",0.0
"P[1,2,4]",0.0
"P[1,3,1]",2.0
"P[1,3,2]",0.0
"P[1,3,3]",0.0
"P[1,3,4]",0.0
"P[2,0,1]",13.0
"P[2,0,2]",0.0
"P[2,0,3]",0.0
"P[2,0,4]",0.0
"P[2,1,1]",1.0
"P[2,1,2]",0.0
"P[2,1,3]",0.0
"P[2,1,4]",0.0
"P[2,2,1]",30.0
"P[2,2,2]",0.0
"P[2,2,3]",0.0
"P[2,2,4]",0.0
"P[2,3,1]",0.0
"P[2,3,2]",0.0
"P[2,3,3]",0.0
"P[2,3,4]",0.0
"P[3,0,1]",9.0
"P[3,0,2]",0.0
"P[3,0,3]",0.0
"P[3,0,4]",0.0
"P[3,1,1]",2.0
"P[3,1,2]",0.0
"P[3,1,3]",0.0
"P[3,1,4]",0.0
"P[3,2,1]",25.0
"P[3,2,2]",0.0
"P[3,2,3]",1.0
"P[3,2,4]",0.0
"P[3,3,1]",6.0
"P[3,3,2]",0.0
"P[3,3,3]",0.0
"P[3,3,4]",3.0
"P[4,0,1]",3.0
"P[4,0,2]",3.0
"P[4,0,3]",0.0
"P[4,0,4]",0.0
"P[4,1,1]",22.0
"P[4,1,2]",0.0
"P[4,1,3]",0.0
"P[4,1,4]",0.0
"P[4,2,1]",18.0
"P[4,2,2]",0.0
"P[4,2,3]",0.0
"P[4,2,4]",0.0
"P[4,3,1]",3.0
"P[4,3,2]",0.0
"P[4,3,3]",0.0
"P[4,3,4]",0.0
"P[5,0,1]",0.0
"P[5,0,2]",22.0
"P[5,0,3]",0.0
"P[5,0,4]",0.0
"P[5,1,1]",11.0
"P[5,1,2]",0.0
"P[5,1,3]",0.0
"P[5,1,4]",0.0
"P[5,2,1]",11.0
"P[5,2,2]",5.0
"P[5,2,3]",1.0
"P[5,2,4]",0.0
"P[5,3,1]",0.0
"P[5,3,2]",0.0
"P[5,3,3]",0.0
"P[5,3,4]",0.0
"P[6,0,1]",0.0
"P[6,0,2]",10.0
"P[6,0,3]",0.0
"P[6,0,4]",0.0
"P[6,1,1]",0.0
"P[6,1,2]",2.0
"P[6,1,3]",0.0
"P[6,1,4]",0.0
"P[6,2,1]",25.0
"P[6,2,2]",7.0
"P[6,2,3]",0.0
"P[6,2,4]",0.0
"P[6,3,1]",2.0
"P[6,3,2]",6.0
"P[6,3,3]",0.0
"P[6,3,4]",0.0
"P[7,0,1]",0.0
"P[7,0,2]",19.0
"P[7,0,3]",0.0
"P[7,0,4]",0.0
"P[7,1,1]",4.0
"P[7,1,2]",1.0
"P[7,1,3]",0.0
"P[7,1,4]",0.0
"P[7,2,1]",24.0
"P[7,2,2]",2.0
"P[7,2,3]",0.0
"P[7,2,4]",0.0
"P[7,3,1]",0.0
"P[7,3,2]",0.0
"P[7,3,3]",0.0
"P[7,3,4]",1.0
"P[8,0,1]",0.0
"P[8,0,2]",1.0
"P[8,0,3]",0.0
"P[8,0,4]",0.0
"P[8,1,1]",3.0
"P[8,1,2]",20.0
"P[8,1,3]",0.0
"P[8,1,4]",0.0
"P[8,2,1]",20.0
"P[8,2,2]",0.0
"P[8,2,3]",0.0
"P[8,2,4]",0.0
"P[8,3,1]",2.0
"P[8,3,2]",0.0
"P[8,3,3]",0.0
"P[8,3,4]",1.0
"P[9,0,1]",0.0
"P[9,0,2]",19.0
"P[9,0,3]",1.0
"P[9,0,4]",0.0
"P[9,1,1]",0.0
"P[9,1,2]",11.0
"P[9,1,3]",0.0
"P[9,1,4]",0.0
"P[9,2,1]",22.0
"P[9,2,2]",1.0
"P[9,2,3]",0.0
"P[9,2,4]",0.0
"P[9,3,1]",6.0
"P[9,3,2]",0.0
"P[9,3,3]",0.0
"P[9,3,4]",0.0
"P[10,0,1]",0.0
"P[10,0,2]",12.0
"P[10,0,3]",0.0
"P[10,0,4]",0.0
"P[10,1,1]",0.0
"P[10,1,2]",3.0
"P[10,1,3]",0.0
"P[10,1,4]",0.0
"P[10,2,1]",20.0
"P[10,2,2]",14.0
"P[10,2,3]",0.0
"P[10,2,4]",0.0
"P[10,3,1]",0.0
"P[10,3,2]",3.0
"P[10,3,3]",0.0
"P[10,3,4]",0.0
"P[11,0,1]",0.0
"P[11,0,2]",21.0
"P[11,0,3]",0.0
"P[11,0,4]",0.0
"P[11,1,1]",0.0
"P[11,1,2]",3.0
"P[11,1,3]",0.0
"P[11,1,4]",0.0
"P[11,2,1]",22.0
"P[11,2,2]",7.0
"P[11,2,3]",0.0
"P[11,2,4]",0.0
"P[11,3,1]",0.0
"P[11,3,2]",3.0
"P[11,3,3]",2.0
"P[11,3,4]",0.0
"P[12,0,1]",0.0
"P[12,0,2]",4.0
"P[12,0,3]",0.0
"P[12,0,4]",0.0
"P[12,1,1]",0.0
"P[12,1,2]",26.0
"P[12,1,3]",0.0
"P[12,1,4]",0.0
"P[12,2,1]",16.0
"P[12,2,2]",6.0
"P[12,2,3]",0.0
"P[12,2,4]",0.0
"P[12,3,1]",0.0
"P[12,3,2]",5.0
"P[12,3,3]",0.0
"P[12,3,4]",0.0
"P[13,0,1]",0.0
"P[13,0,2]",24.0
"P[13,0,3]",0.0
"P[13,0,4]",0.0
"P[13,1,1]",0.0
"P[13,1,2]",13.0
"P[13,1,3]",0.0
"P[13,1,4]",0.0
"P[13,2,1]",6.0
"P[13,2,2]",16.0
"P[13,2,3]",0.0
"P[13,2,4]",0.0
"P[13,3,1]",0.0
"P[13,3,2]",0.0
"P[13,3,3]",0.0
"P[13,3,4]",0.0
"P[14,0,1]",0.0
"P[14,0,2]",13.0
"P[14,0,3]",0.0
"P[14,0,4]",0.0
"P[14,1,1]",0.0
"P[14,1,2]",4.0
"P[14,1,3]",0.0
"P[14,1,4]",0.0
"P[14,2,1]",7.0
"P[14,2,2]",31.0
"P[14,2,3]",0.0
"P[14,2,4]",1.0
"P[14,3,1]",0.0
"P[14,3,2]",3.0
"P[14,3,3]",1.0
"P[14,3,4]",0.0
"P[15,0,1]",0.0
"P[15,0,2]",16.0
"P[15,0,3]",1.0
"P[15,0,4]",0.0
"P[15,1,1]",0.0
"P[15,1,2]",2.0
"P[15,1,3]",3.0
"P[15,1,4]",0.0
"P[15,2,1]",8.0
"P[15,2,2]",23.0
"P[15,2,3]",2.0
"P[15,2,4]",0.0
"P[15,3,1]",0.0
"P[15,3,2]",8.0
"P[15,3,3]",2.0
"P[15,3,4]",0.0
"S[0,0,0,1]",17.0
"S[0,0,0,2]",0.0
"S[0,0,0,3]",0.0
"S[0,0,0,4]",0.0
"S[0,0,1,1]",8.0
"S[0,0,1,2]",0.0
"S[0,0,1,3]",0.0
"S[0,0,1,4]",1.0
